58826	26.40	117.80	121.5	32	沙县	福建	福建	福建
58828	26.27	117.62	209.2	32	三明	福建	福建	福建
58837	26.17	118.15	138		32	尤溪	福建	福建	福建
58839	26.23	118.85	41.8	32	闽清	福建	福建	福建
58843	26.88	120.02	57.8	32	霞浦	福建	福建	福建
58844	26.15	119.15	58.6	32	闽侯	福建	福建	福建
58845	26.50	119.53	61.5	32	罗源	福建	福建	福建
58911	25.85	116.37	311.2	4	长汀	福建	福建	福建
58912	25.72	116.75	380.9	32	连城	福建	福建	福建
58917	25.08	116.10	308.2	32	武平	福建	福建	福建
58918	25.05	116.42	198.7	16	上杭	福建	福建	福建
58921	25.97	117.35	207.2	8	永安	福建	福建	福建
58923	25.70	117.83	400.9	32	大田	福建	福建	福建
58926	25.30	117.42	206.5	16	漳平	福建	福建	福建
58927	25.05	117.02	377		32	龙岩	福建	福建	福建
58928	25.02	117.53	167.7	32	华安	福建	福建	福建
58929	25.07	118.15	69		32	安溪	福建	福建	福建
58931	25.72	118.10	1654.6	16	九仙山	福建	福建	福建
58932	25.87	118.93	86.6	32	永泰	福建	福建	福建
58933	26.92	118.98	870.4	32	屏南	福建	福建	福建
58934	25.33	118.27	171.3	32	永春	福建	福建	福建
58935	25.48	118.23	522.4	32	德化	福建	福建	福建
58936	25.37	118.70	78.5	32	仙游	福建	福建	福建
58938	25.23	118.98	24.3	32	秀屿	福建	福建	福建
58940	26.08	119.33	26.7	32	福州郊区	福建	福建	福建
58941	25.97	119.50	26.9	32	长乐	福建	福建	福建
58942	25.72	119.38	40.3	32	福清	福建	福建	福建
58944	25.52	119.78	33.4	16	平潭	福建	福建	福建
58946	25.45	119.00	81.9	32	莆田	福建	福建	福建
59113	24.73	116.72	227.9	32	永定	福建	福建	福建
59122	24.62	117.75	44		32	长泰	福建	福建	福建
59124	24.52	117.37	29.1	32	南靖	福建	福建	福建
59125	24.38	117.30	109.5	32	平和	福建	福建	福建
59126	24.50	117.65	29.9	16	漳州	福建	福建	福建
59127	24.43	117.83	32.8	32	龙海	福建	福建	福建
59129	24.13	117.60	53.8	32	漳浦	福建	福建	福建
59130	24.73	118.15	31.7	32	同安	福建	福建	福建
59131	24.97	118.37	172.8	32	南安	福建	福建	福建
59133	24.90	118.92	22.5	16	崇武	福建	福建	福建
59134	24.48	118.07	140.6	4	厦门	福建	福建	福建
59137	24.82	118.57	57		32	晋江	福建	福建	福建
59320	23.77	117.13	19.3	32	诏安	福建	福建	福建
59321	23.78	117.50	54.5	32	东山	福建	福建	福建
59322	23.98	117.37	23.8	32	云霄	福建	福建	福建
58730	27.77	118.03	223.1	16	武夷山	福建	福建	福建
58744	27.45	119.42	816.9	32	寿宁	福建	福建	福建
58821	26.73	117.47	174.9	32	将乐	福建	福建	福建
58734	27.33	118.12	198.1	32	建阳	福建	福建	福建
58818	26.23	116.63	359.7	32	宁化	福建	福建	福建
58836	26.58	118.73	362.7	32	古田	福建	福建	福建
58848	26.20	119.55	14.4	32	连江	福建	福建	福建
58850	26.92	120.23	93.2	32	三沙	福建	福建	福建
52889	36.05	103.88	1518.4	1	兰州	甘肃	甘肃	甘肃
52323	41.80	97.03	1771.6	2	马鬃山	甘肃	甘肃	甘肃
52418	40.15	94.68	1139.6	2	敦煌	甘肃	甘肃	甘肃
53915	35.55	106.67	1347.8	2	崆峒	甘肃	甘肃	甘肃
52652	39.08	100.28	1462.3	4	张掖	甘肃	甘肃	甘肃
52996	35.38	105.02	2451.8	4	华家岭	甘肃	甘肃	甘肃
53923	35.73	107.63	1422.2	4	西峰	甘肃	甘肃	甘肃
56096	33.40	104.92	1080.3	4	武都	甘肃	甘肃	甘肃
57006	34.58	105.75	1142.8	4	天水	甘肃	甘肃	甘肃
52674	38.23	101.97	1978.1	16	永昌	甘肃	甘肃	甘肃
52797	37.18	104.05	1632.1	16	景泰	甘肃	甘肃	甘肃
52984	35.58	103.18	1918.4	16	临夏	甘肃	甘肃	甘肃
52986	35.37	103.87	1895	16	临洮	甘肃	甘肃	甘肃
53821	36.57	107.30	1256.8	16	环县	甘肃	甘肃	甘肃
56074	34.00	102.08	3472.6	16	玛曲	甘肃	甘肃	甘肃
56093	34.43	104.02	2316.2	16	岷县	甘肃	甘肃	甘肃
52533	39.77	98.48	1478.4	1	酒泉	甘肃	甘肃	甘肃
52681	38.63	103.08	1368.7	2	民勤	甘肃	甘肃	甘肃
52446	40.30	99.52	1178.6	4	鼎新	甘肃	甘肃	甘肃
56080	35.00	102.90	2911.2	4	合作	甘肃	甘肃	甘肃
52546	39.37	99.83	1333.4	32	高台	甘肃	甘肃	甘肃
52643	38.83	99.62	2313	32	肃南	甘肃	甘肃	甘肃
52656	38.43	100.82	2282.6	32	民乐	甘肃	甘肃	甘肃
52784	37.47	102.90	2073.6	32	古浪	甘肃	甘肃	甘肃
52885	36.75	103.25	2120	32	永登	甘肃	甘肃	甘肃
52978	35.20	102.52	2930.6	32	夏河	甘肃	甘肃	甘肃
52980	35.97	103.30	1649.2	32	永靖	甘肃	甘肃	甘肃
52981	35.67	103.38	2429.2	32	东乡	甘肃	甘肃	甘肃
52982	35.48	103.55	1954.4	32	广河	甘肃	甘肃	甘肃
52983	35.87	104.15	1875.6	32	榆中	甘肃	甘肃	甘肃
52993	35.68	105.07	1740.6	32	会宁	甘肃	甘肃	甘肃
52995	35.58	104.60	2004.9	32	安定	甘肃	甘肃	甘肃
53906	35.52	105.72	1657.6	32	静宁	甘肃	甘肃	甘肃
53908	35.22	105.23	1769.4	32	通渭	甘肃	甘肃	甘肃
53925	35.68	107.18	1173.7	32	镇原	甘肃	甘肃	甘肃
53926	35.35	107.35	1030	32	泾川	甘肃	甘肃	甘肃
53927	35.20	106.62	1478.8	32	华亭	甘肃	甘肃	甘肃
53928	35.30	107.02	1150.3	32	崇信	甘肃	甘肃	甘肃
53930	36.45	107.98	1272.2	32	华池	甘肃	甘肃	甘肃
53934	35.82	108.02	1299.9	32	合水	甘肃	甘肃	甘肃
53935	35.48	108.35	1443.9	32	正宁	甘肃	甘肃	甘肃
53937	35.52	107.92	980.6	32	宁县	甘肃	甘肃	甘肃
56071	34.58	102.50	3106.9	32	碌曲	甘肃	甘肃	甘肃
56082	34.58	103.50	2541.5	32	卓尼	甘肃	甘肃	甘肃
56084	34.07	103.23	2375.4	32	迭部	甘肃	甘肃	甘肃
56091	34.85	104.47	1884.5	32	漳县	甘肃	甘肃	甘肃
56092	35.00	104.65	1729.4	32	陇西	甘肃	甘肃	甘肃
56095	34.03	104.38	1754.4	32	宕昌	甘肃	甘肃	甘肃
57001	34.75	105.33	1273.1	32	甘谷	甘肃	甘肃	甘肃
57002	34.85	105.65	1217.3	32	秦安	甘肃	甘肃	甘肃
57004	34.73	104.88	1496.6	32	武山	甘肃	甘肃	甘肃
57008	34.03	105.30	1580.2	32	西和	甘肃	甘肃	甘肃
57011	34.75	106.15	1379.4	32	清水	甘肃	甘肃	甘肃
57012	34.98	106.20	1665.7	32	张家川	甘肃	甘肃	甘肃
57014	34.57	105.87	1086.4	32	麦积	甘肃	甘肃	甘肃
57102	33.75	105.72	971.2	32	成县	甘肃	甘肃	甘肃
57105	33.33	105.60	1222.4	32	康县	甘肃	甘肃	甘肃
57110	33.78	106.08	932		32	徽县	甘肃	甘肃	甘肃
57111	33.92	106.30	962.6	32	两当	甘肃	甘肃	甘肃
52436	40.27	97.03	1527.2	4	玉门镇	甘肃	甘肃	甘肃
52787	37.20	102.87	3046.3	4	乌鞘岭	甘肃	甘肃	甘肃
52447	40.00	98.88	1271.7	16	金塔	甘肃	甘肃	甘肃
52661	38.80	101.08	1766.7	16	山丹	甘肃	甘肃	甘肃
52424	40.53	95.78	1172.1	16	瓜州	甘肃	甘肃	甘肃
52895	36.57	104.68	1399.4	16	靖远	甘肃	甘肃	甘肃
52679	37.88	102.87	1540.2	32	武威	甘肃	甘肃	甘肃
52884	36.35	103.95	1669.7	32	皋兰	甘肃	甘肃	甘肃
52896	36.55	104.15	1739.9	32	白银	甘肃	甘肃	甘肃
52985	35.42	103.33	2164	32	和政	甘肃	甘肃	甘肃
52988	35.37	103.72	2001.8	32	康乐	甘肃	甘肃	甘肃
53829	35.98	107.90	1094.9	32	庆城	甘肃	甘肃	甘肃
56094	33.78	104.37	1401.2	32	舟曲	甘肃	甘肃	甘肃
52515	39.52	94.87	2138.6	32	肃北	甘肃	甘肃	甘肃
52998	35.13	104.20	2112.2	32	渭源	甘肃	甘肃	甘肃
